Rank,Test_Case_ID,Priority_Score,Original_User_Story_ID,Input_User_Story_ID,Reason,File_Changed,Changed_Function,Is_Direct_Map
19,TC-27,0.3068999946117401,US-11,US-10,The purpose of the test case is to test the user story.,backend/priority_prediction,extract_changes,False
19,TC-27,0.3068999946117401,US-11,US-10,The purpose of the test case is to test the user story.,backend/priority_prediction,compute_impact,False
19,TC-27,0.3068999946117401,US-11,US-10,The purpose of the test case is to test the user story.,backend/priority_userstory.csv,,False
19,TC-27,0.3068999946117401,US-11,US-10,The purpose of the user story is to explain how the task update logic in app.py directly implements the acceptance criteria.,priority_predictions.csv,,False
19,TC-27,0.3068999946117401,US-11,US-10,The purpose of the test case is to test the user story.,python-testcase/backend/app.py,,False
19,TC-27,0.3068999946117401,US-11,US-10,The purpose of the mapping is to make sure that the user is aware of the changes that have been made.,python-testcase/backend/app.py,testcase,False
20,TC-14,0.3032500147819519,US-09,US-10,The purpose of the mapping is to make sure that the user is aware of the changes that have been made to the task list.,backend/app.py,get_task_count,False
20,TC-14,0.3032500147819519,US-09,US-10,The purpose of the story is to explain how the task update logic in app.py directly implements the acceptance criteria.,src/App.jsx,,False
21,TC-03,0.30149999260902405,US-02,US-10,The purpose of the user story is to explain how the task update logic in app.py implements the acceptance criteria.,backend/app.py,,False
22,TC-10,0.3005000054836273,US-07,US-10,The purpose of the user story is to explain how the task update logic in app.py directly implements the acceptance criteria.,src/App.jsx,,False
23,TC-28,0.2928999960422516,US-06,US-10,The purpose of the mapping is to make sure that the user is aware of the changes that have been made to the user's file system.,backend/app.py,clear_completed,False
23,TC-28,0.2928999960422516,US-06,US-10,The purpose of the user story is to explain how the task update logic in app.py directly implements the acceptance criteria.,src/App.jsx,,False
24,TC-08,0.2840999960899353,US-06,US-10,The purpose of the mapping is to make sure that the user is aware of the changes that have been made to the user's file system.,backend/app.py,clear_completed,False
24,TC-08,0.2840999960899353,US-06,US-10,The purpose of the test case is to test the user story.,src/App.jsx,,False
25,TC-26,0.2660999894142151,US-04,US-10,The purpose of the user story is to explain how the task update logic in app.py is implemented.,backend/app.py,update_task,False
25,TC-26,0.2660999894142151,US-04,US-10,The purpose of the user story is to explain how the task update logic in app.py directly implements the acceptance criteria.,src/App.jsx,,False
26,TC-12,0.243149995803833,US-08,US-10,The purpose of the user story is to explain how the task update logic in app.py implements the acceptance criteria.,backend/app.py,,False
26,TC-12,0.243149995803833,US-08,US-10,The purpose of the story is to explain how the task update logic in app.py directly implements the acceptance criteria.,src/App.jsx,,False
27,TC-04,0.2214999943971634,US-03,US-10,The purpose of the user story is to explain how the task update logic in app.py implements the acceptance criteria.,backend/app.py,complete_task,False
27,TC-04,0.2214999943971634,US-03,US-10,The purpose of the story is to explain how the task update logic in app.py directly implements the acceptance criteria.,src/App.jsx,,False
28,TC-05,0.2199999988079071,US-03,US-10,The purpose of the mapping is to make sure that the user is aware of the changes that have been made to the task list.,backend/app.py,complete_task,False
28,TC-05,0.2199999988079071,US-03,US-10,The purpose of the test case is to test the user story.,src/App.jsx,,False
29,TC-15,0.19975000619888306,US-09,US-10,The purpose of the user story is to explain how the task update logic in app.py implements the acceptance criteria.,backend/app.py,get_task_count,False
29,TC-15,0.19975000619888306,US-09,US-10,The purpose of the story is to explain how the task update logic in app.py directly implements the acceptance criteria.,src/App.jsx,,False
